Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
MPLX,Energy,53.08,0.53,71.28,71.29,Overbought,1.53,51.0949,Bullish,★★★★☆ ↓,5.88,0.0,3.89,No,Not expected,Not imminent,2.0,Increasing,0.2,5.88,0.9436,0.7636,0.18,93.3,90.4,48.3686,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,53.7,High,,262.0,,New
XBI,Unknown,114.67,-0.14,70.99,65.43,Neutral,2.46,110.9659,Bullish,★★★★☆ →,6.14,0.0,3.34,No,Not expected,Not imminent,2.1,Increasing,0.5,6.14,1.627,1.4331,0.1939,85.38,81.38,89.6995,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,116.08,Low,,251.0,,New
BNS,Financial Services,67.57,0.33,69.51,66.74,Neutral,1.25,66.2884,Bullish,★★★★☆ →,2.76,0.0,1.93,No,Not expected,Not imminent,2.2,Increasing,0.14,2.76,0.654,0.6006,0.0534,80.35,80.61,53.9243,Bullish MACD; Above VWAP,67.94,Low,,457.0,,New
CDTX,Healthcare,218.3,0.18,69.41,88.76,Overbought,6.07,132.5846,Bullish,★★★★☆ ↓,117.45,0.0,64.65,Possible,Likely soon,Not imminent,1.9,Increasing,1.0,117.45,27.2998,11.447,15.8528,99.29,87.78,90.9538,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,269.58,High,,4.0,,New
MRK,Healthcare,96.96,4.42,69.29,77.44,Overbought,2.97,89.1258,Bullish,★★★★☆ ↓,15.63,0.0,8.8,No,Likely soon,Imminent,2.0,Increasing,0.0,15.63,2.3809,1.2749,1.1061,88.12,86.58,85.142,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,100.0,High,,75.0,,New
TRV,Financial Services,287.13,0.92,69.28,65.15,Neutral,1.75,279.4021,Bullish,★★★★☆ →,3.55,0.0,2.77,No,Not expected,Not imminent,1.9,Increasing,0.17,3.55,3.9338,3.0106,0.9232,83.66,85.21,258.6278,Strong trend; Bullish MACD; Above VWAP,289.17,Low,,384.5,,New
TTE,Energy,64.14,-1.34,69.05,61.07,Neutral,1.52,62.8769,Bullish,★★★★☆ →,4.72,0.0,2.01,No,Not expected,Not imminent,2.0,Increasing,0.2,4.72,0.9188,0.7309,0.1879,84.17,88.79,58.0213,Bullish MACD; Above VWAP,64.75,Low,,301.0,,New
AZN,Healthcare,89.14,-0.29,68.85,67.83,Neutral,1.89,85.8044,Bullish,★★★★☆ →,8.67,0.0,3.89,No,Not expected,Not imminent,2.0,Increasing,0.5,8.67,1.6729,1.1619,0.511,91.96,91.42,72.6723,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,90.69,Low,,173.5,,-
CM,Financial Services,85.72,-1.28,68.7,61.19,Neutral,1.42,84.4406,Bullish,★★★★☆ →,2.89,0.0,1.52,No,Not expected,Not imminent,2.7,Increasing,0.2,2.89,1.118,1.0827,0.0353,85.99,88.81,67.667,Bullish MACD; Above VWAP,86.22,Low,,441.5,,-
DTM,Energy,114.56,-0.27,68.64,59.04,Neutral,2.56,112.3917,Bullish,★★★★☆ →,3.96,0.0,1.92,No,Not expected,Not imminent,1.8,Increasing,0.2,3.96,1.3948,1.1462,0.2486,84.1,84.66,100.6047,Bullish MACD; Above VWAP,115.46,Low,,354.0,,-
XLV,Unknown,152.21,0.34,68.41,75.78,Overbought,1.29,148.0044,Bullish,★★★★☆ ↓,4.9,0.0,2.84,Possible,Not expected,Not imminent,1.9,Increasing,0.14,4.9,2.1058,1.6823,0.4235,77.95,81.23,137.9809,Strong trend; Bullish MACD; Above VWAP,153.7,High,,290.0,,-
AUPH,Healthcare,15.53,0.26,68.4,72.15,Overbought,5.7,14.1412,Bullish,★★★★☆ ↓,8.83,0.0,9.82,No,Likely soon,Not imminent,2.0,Increasing,0.12,8.83,0.7774,0.7338,0.0436,82.47,81.21,9.832,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,15.8,High,,166.0,,-
SMFG,Financial Services,16.9,-2.4,68.35,57.52,Neutral,1.9,16.5429,Bullish,★★★★☆ →,4.68,0.0,2.13,No,Not expected,Not imminent,1.8,Increasing,0.2,4.68,0.2465,0.1554,0.0911,78.56,81.59,15.1243,Bullish MACD; Above VWAP,17.05,Low,,304.0,,-
DOLE,Consumer Defensive,14.03,-0.04,68.31,70.67,Overbought,2.51,13.4618,Bullish,★★★★☆ ↓,8.55,0.0,4.26,No,Not expected,Not imminent,2.2,Increasing,0.0,8.55,0.2678,0.1608,0.1071,80.45,76.85,13.794,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,14.27,High,,176.0,,-
XOM,Energy,117.92,0.2,67.75,60.24,Neutral,1.81,115.6875,Bullish,★★★★☆ →,4.22,0.0,1.93,No,Not expected,Not imminent,2.1,Increasing,0.2,4.22,1.3014,1.0893,0.2121,82.19,80.96,108.0103,Bullish MACD; Bullish Stochastic; Above VWAP,118.92,Low,,335.0,,-
HIG,Financial Services,132.76,0.53,67.63,62.61,Neutral,1.62,129.7066,Bullish,★★★★☆ →,3.77,0.0,2.35,No,Not expected,Not imminent,2.0,Increasing,0.01,3.77,1.6986,1.0728,0.6258,83.03,88.17,121.04,Bullish MACD; Above VWAP,133.76,Low,,364.0,,-
CME,Financial Services,280.11,0.35,67.44,61.56,Neutral,1.93,274.3559,Bullish,★★★★☆ →,4.58,0.0,2.1,No,Not expected,Not imminent,2.2,Increasing,0.01,4.58,3.6807,2.9092,0.7715,78.0,83.68,258.4918,Bullish MACD; Above VWAP,282.68,Low,,308.0,,-
BP,Energy,36.2,-0.83,67.32,60.71,Neutral,1.8,35.4156,Bullish,★★★★☆ →,4.49,0.0,2.2,No,Not expected,Not imminent,2.2,Increasing,0.12,4.49,0.571,0.5645,0.0065,76.48,74.97,30.4882,Bullish MACD; Bullish Stochastic; Above VWAP,36.52,Low,,317.0,,-
VIV,Communication Services,13.05,1.31,67.29,59.78,Neutral,2.23,12.7148,Bullish,★★★★☆ →,6.95,0.0,2.62,No,Not expected,Not imminent,2.2,Increasing,0.14,6.95,0.1799,0.1471,0.0328,79.07,85.39,10.0937,Strong trend; Healthy momentum; Bullish MACD; Above VWAP,13.23,Low,,220.0,,-
MNST,Consumer Defensive,72.64,1.11,67.16,65.38,Neutral,2.46,69.6877,Bullish,★★★★☆ →,8.63,0.0,4.24,No,Not expected,Not imminent,2.0,Increasing,1.0,8.63,1.0599,0.6209,0.439,86.16,80.61,59.222,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,73.89,Low,,175.0,,-
TJX,Consumer Cyclical,145.57,0.27,66.91,57.71,Neutral,1.67,144.0923,Bullish,★★★★☆ →,2.77,0.0,1.02,No,Not expected,Not imminent,2.1,Increasing,0.14,2.77,0.9748,0.8601,0.1147,75.68,80.25,127.7225,Bullish MACD; Above VWAP,146.38,Low,,454.0,,-
WES,Energy,39.03,0.06,66.71,59.33,Neutral,1.98,38.3596,Bullish,★★★★☆ →,4.51,0.0,1.73,No,Not expected,Not imminent,1.8,Increasing,0.12,4.51,0.3553,0.3357,0.0196,70.6,66.84,37.0377,Bullish MACD; Bullish Stochastic; Above VWAP,39.38,Low,,314.0,,-
GILD,Healthcare,126.31,1.78,66.67,63.81,Neutral,3.02,121.9403,Bullish,★★★★☆ →,2.69,0.0,3.58,No,Not expected,Not imminent,2.1,Increasing,1.0,2.69,1.5023,1.1289,0.3735,81.39,81.01,106.2287,Strong trend; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,126.98,Low,,464.5,,-
PFE,Healthcare,25.35,1.1,66.28,58.93,Neutral,2.69,24.7948,Bullish,★★★★☆ →,6.18,0.0,2.26,No,Not expected,Not imminent,1.8,Increasing,0.02,6.18,0.2768,0.1861,0.0907,52.15,60.92,23.9535,Healthy momentum; Bullish MACD; Above VWAP,25.67,Low,,250.0,,-
HALO,Healthcare,70.77,0.3,66.26,61.12,Neutral,3.4,68.8011,Bullish,★★★★☆ →,4.0,0.0,2.86,No,Not expected,Not imminent,2.3,Increasing,0.02,4.0,0.9681,0.5678,0.4002,74.69,76.91,60.1941,Strong trend; Bullish MACD; Above VWAP,71.34,Low,,350.0,,-
SBRA,Real Estate,18.68,0.48,66.12,60.05,Neutral,2.77,18.2251,Bullish,★★★★☆ →,5.59,0.0,2.5,No,Not expected,Not imminent,1.9,Increasing,0.01,5.59,0.2113,0.1718,0.0395,80.66,77.42,17.1854,Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,18.89,Low,,266.5,,-
PGNY,Healthcare,25.73,-4.06,66.06,70.5,Overbought,4.89,22.2846,Bullish,★★★★☆ ↓,38.56,0.0,15.46,No,Likely soon,Not imminent,2.1,Increasing,0.5,38.56,1.6229,0.9365,0.6864,91.46,92.9,20.8461,Strong trend; Healthy momentum; Bullish MACD; Above VWAP,27.71,High,,10.0,,-
ED,Utilities,103.24,-0.59,66.02,63.2,Neutral,1.86,100.0881,Bullish,★★★★☆ →,5.39,0.0,3.15,No,Not expected,Not imminent,2.1,Increasing,0.0,5.39,1.0166,0.2146,0.8021,92.02,91.69,99.5413,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,104.35,Low,,275.0,,-
SBLK,Industrials,19.15,0.0,65.99,61.51,Neutral,2.44,18.5618,Bullish,★★★★☆ →,6.69,0.0,3.17,No,Not expected,Not imminent,2.3,Increasing,0.02,6.69,0.2606,0.1775,0.0832,80.57,79.85,16.3967,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,19.41,Low,,230.0,,-
EXPD,Industrials,139.55,-1.88,65.96,65.96,Neutral,3.34,132.6588,Bullish,★★★★☆ →,2.81,0.0,5.19,No,Not expected,Not imminent,1.8,Increasing,0.5,2.81,4.4878,4.3107,0.1772,89.62,89.07,116.8725,Strong trend; Bullish MACD; Bullish Stochastic; Above VWAP,140.33,Low,,450.5,,-
EPD,Energy,31.54,-0.66,65.79,57.25,Neutral,1.82,31.1779,Bullish,★★★★☆ →,4.37,0.0,1.16,No,Not expected,Not imminent,2.2,Increasing,0.0,4.37,0.3085,0.2398,0.0687,75.61,82.97,30.5669,Bullish MACD; Above VWAP,31.82,Low,,324.5,,-
SQM,Basic Materials,58.84,-1.06,65.7,75.06,Overbought,4.81,50.6097,Bullish,★★★★☆ ↓,27.64,0.0,16.26,Possible,Likely soon,Not imminent,1.7,Increasing,0.5,27.64,3.1863,2.0965,1.0898,85.85,88.22,40.6163,Strong trend; Healthy momentum; Bullish MACD; Above VWAP,62.09,High,,20.0,,-
AMLP,Unknown,46.59,0.03,65.65,58.92,Neutral,1.1,46.112,Bullish,★★★★☆ →,2.25,0.0,1.05,No,Not expected,Not imminent,1.8,Increasing,0.0,2.25,0.2631,0.2144,0.0487,74.7,75.08,46.4269,Bullish MACD; Above VWAP,46.8,Low,,494.5,,-
TRP,Energy,54.41,-0.18,65.63,63.89,Neutral,1.82,52.7883,Bullish,★★★★☆ →,9.28,0.0,3.07,No,Not expected,Not imminent,2.1,Increasing,0.2,9.28,0.9088,0.491,0.4179,89.89,92.03,48.2157,Strong trend; Healthy momentum; Bullish MACD; Above VWAP,55.42,Low,,159.0,,-
LQDA,Healthcare,29.98,5.56,65.43,67.8,Neutral,7.27,26.3354,Bullish,★★★★☆ →,7.41,0.0,13.83,No,Likely soon,Imminent,2.4,Increasing,1.0,7.41,1.2932,0.9922,0.301,89.08,83.87,19.1315,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,30.42,High,,207.0,,-
ALB,Basic Materials,120.49,2.37,65.31,73.01,Overbought,5.47,103.7986,Bullish,★★★★☆ ↓,36.22,0.0,16.08,No,Likely soon,Not imminent,2.0,Increasing,1.0,36.22,6.3077,3.8474,2.4603,83.68,85.73,76.9088,Strong trend; Healthy momentum; Recent high; Bullish MACD; Above VWAP,129.21,High,,11.0,,-
CSCO,Technology,76.86,-1.18,65.15,66.7,Neutral,2.6,73.4855,Bullish,★★★★☆ →,6.28,0.0,4.6,No,Not expected,Not imminent,2.2,Increasing,0.2,6.28,1.6776,1.1677,0.5099,78.22,79.65,63.4673,Strong trend; Healthy momentum; Bullish MACD; Above VWAP,77.83,Low,,249.0,,-
CVE,Energy,18.2,1.31,65.13,61.31,Neutral,2.72,17.529,Bullish,★★★★☆ →,9.21,0.0,3.86,No,Not expected,Not imminent,2.1,Increasing,0.12,9.21,0.2932,0.1914,0.1018,82.13,79.53,14.9737,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,18.54,Low,,162.0,,-
LNT,Utilities,68.7,0.88,65.06,61.94,Neutral,1.33,67.4914,Bullish,★★★★☆ →,3.17,0.0,1.79,No,Not expected,Not imminent,2.0,Increasing,1.0,3.17,0.2622,0.1225,0.1396,81.09,69.36,62.0576,Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,69.14,Low,,416.5,,-
REGN,Healthcare,717.63,1.89,65.04,78.43,Overbought,2.8,655.9543,Bullish,★★★★☆ ↓,14.27,0.0,9.4,Possible,Likely soon,Imminent,2.1,Increasing,0.0,14.27,25.2631,20.8486,4.4144,89.74,87.43,609.6074,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,738.11,High,,87.0,,-
PTCT,Healthcare,76.79,1.57,65.03,79.63,Overbought,3.65,71.5031,Bullish,★★★★☆ ↓,13.39,0.0,7.39,Possible,Not expected,Not imminent,1.9,Increasing,1.0,13.39,2.3154,1.9741,0.3413,88.1,89.12,52.1967,Strong trend; Healthy momentum; Recent high; Bullish MACD; Above VWAP,78.85,High,,93.0,,-
AS,Consumer Cyclical,33.12,7.66,65.03,58.8,Neutral,3.67,31.3326,Bullish,★★★★☆ →,5.46,0.0,5.69,No,Not expected,Not imminent,1.9,Increasing,0.01,5.46,-0.0414,-0.3777,0.3363,56.3,45.94,31.9486,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,33.48,Low,,272.5,,-
FANG,Energy,146.79,0.29,65.03,56.43,Neutral,2.71,143.7169,Bullish,★★★★☆ →,6.01,0.0,2.14,No,Not expected,Not imminent,2.1,Increasing,0.0,6.01,1.4677,0.7995,0.6682,82.76,79.3,145.8639,Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,148.55,Low,,257.0,,-
CMS,Utilities,74.51,0.07,65.01,57.67,Neutral,1.7,73.6029,Bullish,★★★★☆ →,2.92,0.0,1.23,No,Not expected,Not imminent,2.2,Increasing,0.14,2.92,0.3791,0.2318,0.1473,81.58,79.92,69.8417,Bullish MACD; Bullish Stochastic; Above VWAP,74.95,Low,,436.0,,-
AEE,Utilities,105.3,-0.07,64.97,58.45,Neutral,1.41,104.1256,Bullish,★★★★☆ →,3.33,0.0,1.13,No,Not expected,Not imminent,2.0,Increasing,0.14,3.33,0.5322,0.2774,0.2549,87.27,86.43,96.8833,Bullish MACD; Bullish Stochastic; Above VWAP,106.0,Low,,405.0,,-
CYTK,Healthcare,67.59,0.96,64.96,68.93,Neutral,3.95,62.7649,Bullish,★★★★☆ →,13.37,0.0,7.69,No,Not expected,Not imminent,2.0,Increasing,1.0,13.37,2.0504,1.5777,0.4726,92.91,90.23,44.5872,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,69.4,Low,,94.0,,-
ENB,Energy,48.12,0.79,64.91,54.82,Neutral,1.77,47.6986,Neutral,★★★★☆ →,3.74,0.0,0.89,No,Not expected,Not imminent,2.1,Increasing,0.02,3.74,0.1875,0.0548,0.1327,71.55,75.66,44.2386,Bullish MACD; Above VWAP,48.48,Low,,366.5,,-
XLE,Unknown,90.15,-0.2,64.89,55.24,Neutral,1.72,89.3202,Neutral,★★★★☆ →,3.4,0.0,0.93,No,Not expected,Not imminent,2.3,Increasing,0.0,3.4,0.7452,0.624,0.1212,76.38,77.64,85.8247,Bullish MACD; Above VWAP,90.77,Low,,395.5,,-
DG,Consumer Defensive,103.48,0.32,64.87,53.92,Neutral,2.71,102.1365,Bullish,★★★★☆ →,3.72,0.0,1.32,No,Not expected,Not imminent,1.9,Increasing,0.01,3.72,0.6616,0.1578,0.5038,81.62,86.03,91.3227,Bullish MACD; Above VWAP,104.25,Low,,370.0,,-
IMNM,Healthcare,18.13,0.0,64.83,64.68,Neutral,7.16,16.3743,Bullish,★★★★☆ →,17.65,0.0,10.72,No,Likely soon,Not imminent,2.0,Increasing,0.5,17.65,0.6494,0.521,0.1283,77.95,71.88,10.528,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,18.77,High,,63.0,,-
SJM,Consumer Defensive,106.71,0.16,64.82,54.73,Neutral,2.21,105.6531,Bullish,★★★★☆ →,4.0,0.0,1.0,No,Not expected,Not imminent,1.6,Increasing,0.0,4.0,1.0868,0.8296,0.2572,67.06,76.08,105.4314,Bullish MACD; Above VWAP,107.56,Low,,350.0,,-
ABBV,Healthcare,234.6,0.26,64.8,63.55,Neutral,2.53,226.8381,Bullish,★★★★☆ →,8.67,0.0,3.42,No,Not expected,Not imminent,2.5,Increasing,0.02,8.67,2.6694,0.6307,2.0387,79.58,79.46,192.4509,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,238.67,Low,,173.5,,-
COCO,Consumer Defensive,45.97,1.18,64.77,65.73,Neutral,4.59,42.6399,Bullish,★★★★☆ →,15.26,0.0,7.8,No,Not expected,Not imminent,2.0,Increasing,1.0,15.26,0.9999,0.5116,0.4884,52.49,46.68,36.6373,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,47.37,Low,,80.0,,-
MPC,Energy,196.78,0.41,64.75,55.06,Neutral,3.36,193.9423,Bullish,★★★★☆ →,7.07,0.0,1.46,No,Not expected,Not imminent,2.6,Increasing,0.12,7.07,1.703,1.5947,0.1082,82.7,81.33,156.5421,Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,199.56,Low,,216.0,,-
VOD,Communication Services,12.2,-0.04,64.66,57.52,Neutral,2.36,11.9287,Bullish,★★★★☆ →,8.97,0.0,2.32,No,Not expected,Not imminent,1.8,Increasing,0.12,8.97,0.1758,0.1315,0.0443,70.31,74.27,9.6617,Healthy momentum; Bullish MACD; Above VWAP,12.42,Low,,165.0,,-
NESR,Energy,14.21,2.08,64.65,69.72,Neutral,4.44,12.8607,Bullish,★★★★☆ →,15.43,0.0,10.49,No,Likely soon,Not imminent,2.0,Increasing,1.0,15.43,0.5472,0.4802,0.0671,79.68,73.96,8.8588,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,14.65,Low,,78.0,,-
PEP,Consumer Defensive,148.67,0.57,64.51,57.56,Neutral,1.6,146.1098,Bullish,★★★★☆ →,4.04,0.0,1.75,No,Not expected,Not imminent,1.7,Increasing,0.0,4.04,0.0918,-0.5954,0.6872,71.21,52.04,141.231,Bullish MACD; Bullish Stochastic; Above VWAP,149.87,Low,,346.0,,-
LGN,Industrials,43.41,8.2,64.41,64.52,Neutral,7.55,37.5767,Bullish,★★★★☆ →,13.31,0.0,15.52,No,Likely soon,Not imminent,1.9,Increasing,1.0,13.31,1.1589,0.7463,0.4126,76.38,51.16,33.4618,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,44.57,High,,95.0,,-
PARR,Energy,45.65,1.47,64.39,65.22,Neutral,6.12,41.2324,Bullish,★★★★☆ →,12.63,0.0,10.71,No,Likely soon,Not imminent,2.1,Increasing,1.0,12.63,1.6082,1.2896,0.3186,78.94,72.59,24.248,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,46.8,High,,104.0,,-
LABU,Unknown,137.69,1.25,64.39,65.38,Neutral,6.87,124.8838,Bullish,★★★★☆ →,19.43,0.0,10.25,No,Likely soon,Not imminent,2.1,Increasing,1.0,19.43,4.9648,4.1015,0.8634,86.54,80.96,73.2701,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,143.04,High,,44.0,,-
FENY,Unknown,24.94,-0.13,64.37,54.57,Neutral,1.68,24.7453,Neutral,★★★★☆ →,3.05,0.0,0.78,No,Not expected,Not imminent,2.4,Increasing,0.0,3.05,0.1819,0.156,0.0258,73.07,74.39,23.8383,Bullish MACD; Above VWAP,25.09,Low,,431.5,,-
CPRX,Healthcare,22.64,0.35,64.29,61.16,Neutral,3.97,21.8862,Bullish,★★★★☆ →,6.09,0.0,3.44,No,Not expected,Not imminent,1.8,Increasing,0.01,6.09,0.4759,0.4003,0.0756,76.74,82.61,21.9392,Strong trend; Healthy momentum; Bullish MACD; Above VWAP,22.92,Low,,253.5,,-
NE,Energy,30.23,0.97,64.27,56.08,Neutral,3.97,29.5359,Bullish,★★★★☆ →,4.31,0.0,2.35,No,Not expected,Not imminent,1.8,Increasing,0.0,4.31,0.2608,0.1859,0.0749,71.19,64.14,26.445,Bullish MACD; Bullish Stochastic; Above VWAP,30.49,Low,,328.5,,-
ARQT,Healthcare,26.97,3.06,64.23,68.46,Neutral,5.33,23.8104,Bullish,★★★★☆ →,12.33,0.0,13.27,No,Likely soon,Not imminent,1.9,Increasing,1.0,12.33,0.9282,0.7977,0.1305,79.31,63.99,15.7838,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,27.64,High,,108.0,,-
EFC,Real Estate,13.69,0.66,64.21,55.26,Neutral,2.04,13.5408,Bullish,★★★★☆ →,0.0,0.0,1.1,No,Not expected,Not imminent,2.0,Increasing,0.12,0.0,0.0796,0.0786,0.001,61.35,63.03,12.3581,Bullish MACD; Above VWAP,,Low,,760.0,,-
XOP,Unknown,130.93,-0.39,64.16,53.36,Neutral,2.35,129.7817,Neutral,★★★★☆ →,3.97,0.0,0.88,No,Not expected,Not imminent,2.2,Increasing,0.0,3.97,1.1979,0.848,0.3499,74.21,76.65,126.2708,Bullish MACD; Above VWAP,131.97,Low,,352.5,,-
