Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,BB %B,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
QCOM,Technology,166.75,-4.16,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.3351,1.0046,-1.3397,19.22,20.44,157.4435,185.6053,174.8715,164.1377,0.1217,,,Low,calc_error:NameError,22.5,,New
NFLX,Communication Services,110.29,-0.83,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.527,-0.9854,0.4584,52.93,72.55,106.7695,118.718,111.7342,104.7504,0.3966,,,Low,calc_error:NameError,22.5,,New
SHOP,Technology,139.93,-4.18,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-5.3499,-2.0246,-3.3253,7.22,15.14,118.2873,185.5127,162.8555,140.1983,-0.0059,,,Low,calc_error:NameError,22.5,,New
ADBE,Technology,325.07,-1.82,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-3.863,-3.4237,-0.4393,17.38,24.22,392.6289,363.265,340.2975,317.33,0.1685,,,Low,calc_error:NameError,22.5,,New
CRM,Technology,237.03,-2.72,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-2.8861,-1.3098,-1.5763,21.56,29.2,276.0694,266.7388,250.457,234.1752,0.0877,,,Low,calc_error:NameError,22.5,,New
SPY,Unknown,665.67,-0.93,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.8123,1.3376,-2.1499,30.43,48.56,604.8457,690.6393,677.229,663.8187,0.069,,,Low,calc_error:NameError,22.5,,New
QQQ,Unknown,603.66,-0.85,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-1.9578,1.2847,-3.2424,23.67,36.42,537.041,638.6027,618.9635,599.3243,0.1104,,,Low,calc_error:NameError,22.5,,New
IWM,Unknown,232.76,-1.99,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-2.419,-1.0724,-1.3466,11.51,23.57,219.8477,252.6313,243.779,234.9267,-0.1224,,,Low,calc_error:NameError,22.5,,New
SMCI,Technology,34.1,-6.37,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-4.0257,-3.0374,-0.9883,5.75,4.69,41.6761,59.0557,45.2645,31.4733,0.0952,,,Low,calc_error:NameError,22.5,,New
CELH,Consumer Defensive,40.16,-6.15,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-4.8564,-3.6665,-1.1899,9.26,13.37,38.2948,72.3247,54.0815,35.8383,0.1184,,,Low,calc_error:NameError,22.5,,New
PLTR,Technology,171.25,-1.59,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-3.2299,-0.2939,-2.936,15.39,24.57,117.8592,206.1486,185.983,165.8174,0.1347,,,Low,calc_error:NameError,22.5,,-
UBER,Technology,92.11,0.53,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.812,-0.5469,-0.2651,19.47,23.6,80.3443,98.3445,94.1275,89.9105,0.2608,,,Low,calc_error:NameError,22.5,,-
FSLR,Technology,253.54,0.18,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,3.6064,6.9437,-3.3373,44.35,53.92,172.9262,286.6771,253.154,219.6309,0.5058,,,Low,calc_error:NameError,22.5,,-
ENPH,Technology,27.53,-4.01,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-1.5147,-1.3098,-0.2049,3.94,9.91,44.4386,38.3969,32.0975,25.7981,0.1375,,,Low,calc_error:NameError,22.5,,-
SEDG,Technology,34.27,-5.28,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.1536,0.5066,-0.6602,29.24,44.39,22.1653,45.3025,38.0575,30.8125,0.2386,,,Low,calc_error:NameError,22.5,,-
COST,Consumer Defensive,912.59,-1.13,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-3.1391,-2.659,-0.4801,32.74,30.86,961.2384,945.5776,924.9057,904.2338,0.2021,,,Low,calc_error:NameError,22.5,,-
HD,Consumer Cyclical,358.03,-1.19,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-5.9051,-4.6482,-1.2569,10.85,19.36,380.2843,394.977,376.9745,358.972,-0.0262,,,Low,calc_error:NameError,22.5,,-
WMT,Consumer Defensive,102.95,0.46,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.2474,-0.3678,0.1204,62.9,53.02,95.4417,107.0244,103.3385,99.6526,0.4473,,,Low,calc_error:NameError,22.5,,-
PANW,Technology,202.9,-1.14,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-2.3282,-0.2793,-2.0489,18.21,21.96,189.1127,224.8645,214.2325,203.6005,-0.0329,,,Low,calc_error:NameError,22.5,,-
CRWD,Technology,529.78,-1.45,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,4.2376,8.3191,-4.0815,36.85,46.94,418.7796,565.2221,535.3365,505.4509,0.407,,,Low,calc_error:NameError,22.5,,-
ZS,Technology,294.92,-1.51,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-3.8088,1.347,-5.1558,9.01,20.86,245.0013,341.5618,319.8075,298.0532,-0.072,,,Low,calc_error:NameError,22.5,,-
MRNA,Healthcare,24.76,-0.04,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.2821,-0.3053,0.0232,29.06,39.05,30.4889,28.2718,25.64,23.0082,0.3328,,,Low,calc_error:NameError,22.5,,-
LLY,Healthcare,1021.7,-0.35,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,49.1875,39.5584,9.6291,95.5,95.95,783.0585,1065.9383,901.8154,737.6925,0.8652,,,Low,calc_error:NameError,22.5,,-
PFE,Healthcare,25.08,0.08,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,0.2745,0.1635,0.111,57.42,73.68,23.9509,25.7394,24.5257,23.312,0.7283,,,Low,calc_error:NameError,22.5,,-
XOM,Energy,117.68,-1.35,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,1.3671,1.0363,0.3308,81.54,79.22,107.9983,119.5125,115.1187,110.725,0.7915,,,Low,calc_error:NameError,22.5,,-
CVX,Energy,154.82,-1.78,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,0.345,0.1768,0.1682,55.31,48.4,148.4569,157.8313,154.9255,152.0197,0.4818,,,Low,calc_error:NameError,22.5,,-
GLD,Unknown,371.65,-1.15,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,1.7217,1.5338,0.188,58.63,74.78,314.4333,386.4605,372.509,358.5575,0.4692,,,Low,calc_error:NameError,22.5,,-
SLV,Unknown,45.47,-1.07,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,0.6129,0.4402,0.1726,62.39,77.42,34.8794,47.6575,44.4775,41.2975,0.6561,,,Low,calc_error:NameError,22.5,,-
GDX,Unknown,74.95,-1.59,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,0.7237,0.1568,0.5669,66.77,78.35,54.0097,78.6931,73.1475,67.6019,0.6625,,,Low,calc_error:NameError,22.5,,-
COIN,Financial Services,263.95,-7.06,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-16.0335,-10.7192,-5.3143,8.31,12.89,292.2028,372.4553,319.6075,266.7597,-0.0266,,,Low,calc_error:NameError,22.5,,-
MSTR,Technology,195.42,-2.17,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-22.0593,-17.9242,-4.1351,4.26,5.33,348.6156,317.6299,254.0385,190.4471,0.0391,,,Low,calc_error:NameError,22.5,,-
NKE,Consumer Cyclical,62.9,-1.98,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.7328,-1.1665,0.4338,47.0,45.11,67.9909,70.7838,64.8655,58.9472,0.3339,,,Low,calc_error:NameError,22.5,,-
DE,Industrials,475.98,-0.05,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,3.0533,2.8916,0.1617,68.05,72.76,470.8657,483.2296,470.851,458.4724,0.7072,,,Low,calc_error:NameError,22.5,,-
CAT,Industrials,552.05,-0.36,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,5.4813,10.8006,-5.3193,35.46,48.89,394.5167,600.0316,553.543,507.0544,0.4839,,,Low,calc_error:NameError,22.5,,-
