Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
CCCXW,Financial Services,6.25,,77.41,,N/A,,6.25,Neutral,★★★★☆  ?,,0.0,0.0,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,,,Low,calc_error:TypeError,695.0,,New
USARW,Basic Materials,3.18,,77.41,,N/A,,3.18,Neutral,★★★★☆  ?,,0.0,0.0,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,,,Low,calc_error:TypeError,695.0,,New
AHR,Real Estate,47.91,-0.85,77.34,65.53,Neutral,2.73,46.5002,Bullish,★★★★☆ →,4.72,0.0,3.03,No,Not expected,Not imminent,2.3,Increasing,0.09,4.72,Strong trend,48.36,Low,,276.0,,New
XOM,Energy,117.68,-1.35,77.32,59.6,Neutral,1.82,115.4526,Bullish,★★★★☆ →,4.35,0.0,1.93,No,Not expected,Not imminent,2.2,Increasing,0.25,4.35,Balanced metrics,118.7,Low,,290.0,,New
POR,Utilities,49.14,-0.59,77.11,68.41,Neutral,2.09,47.6644,Bullish,★★★★☆ →,4.64,0.0,3.1,No,Not expected,Not imminent,1.8,Increasing,0.17,4.64,Strong trend,49.6,Low,,279.5,,New
EWZ,Unknown,32.78,-1.21,77.07,64.5,Neutral,1.58,31.9109,Bullish,★★★★☆ →,4.0,0.0,2.72,No,Not expected,Not imminent,1.9,Increasing,0.14,4.0,Strong trend,33.04,Low,,314.0,,New
SBS,Utilities,26.14,-2.57,76.91,64.04,Neutral,2.01,25.3783,Bullish,★★★★☆ →,5.02,0.0,3.0,No,Not expected,Not imminent,1.9,Increasing,0.25,5.02,Strong trend; Healthy momentum,26.4,Low,,254.5,,New
AMX,Communication Services,23.14,-0.34,76.9,60.91,Neutral,2.16,22.81,Bullish,★★★★☆ →,2.3,0.0,1.45,No,Not expected,Not imminent,1.9,Increasing,0.14,2.3,Balanced metrics,23.25,Low,,421.5,,New
CVE,Energy,17.97,-0.88,76.82,58.73,Neutral,2.74,17.4579,Bullish,★★★★☆ →,5.46,0.0,2.93,No,Not expected,Not imminent,2.1,Increasing,0.14,5.46,Strong trend; Healthy momentum,18.17,Low,,235.5,,New
BP,Energy,36.5,-0.08,76.66,64.35,Neutral,1.86,35.3335,Bullish,★★★★☆ →,6.13,0.0,3.3,No,Not expected,Not imminent,2.2,Increasing,0.14,6.13,Strong trend; Healthy momentum,36.95,Low,,207.0,,New
JNJ,Healthcare,199.58,1.86,76.56,74.77,Overbought,1.53,191.1454,Bullish,★★★★☆ ↓,7.15,0.0,4.41,No,Not expected,Imminent,2.1,Increasing,1.0,7.15,Strong trend; Healthy momentum; Recent high,202.43,High,,177.5,,-
AEE,Utilities,105.37,0.33,76.51,58.91,Neutral,1.45,104.002,Bullish,★★★★☆ →,3.77,0.0,1.32,No,Not expected,Not imminent,2.0,Increasing,0.17,3.77,Balanced metrics,106.16,Low,,329.0,,-
SQM,Basic Materials,59.47,9.02,76.5,77.46,Overbought,4.75,49.7434,Bullish,★★★★☆ ↓,22.39,0.0,19.55,No,Likely soon,Imminent,1.7,Increasing,1.0,22.39,Strong trend; Healthy momentum; Recent high,62.13,High,,30.0,,-
MDU,Utilities,20.44,-0.82,76.45,61.13,Neutral,2.25,20.0802,Bullish,★★★★☆ →,5.36,0.0,1.79,No,Not expected,Not imminent,2.3,Increasing,0.14,5.36,Healthy momentum,20.66,Low,,241.5,,-
WES,Energy,39.0,0.8,76.44,59.11,Neutral,2.03,38.2895,Bullish,★★★★☆ →,4.14,0.0,1.86,No,Not expected,Not imminent,1.8,Increasing,0.14,4.14,Balanced metrics,39.32,Low,,301.5,,-
TRV,Financial Services,284.51,-0.97,76.41,62.08,Neutral,1.75,278.5886,Bullish,★★★★☆ →,6.3,0.0,2.13,No,Not expected,Not imminent,1.9,Increasing,0.2,6.3,Healthy momentum,288.09,Low,,199.0,,-
ILF,Unknown,30.16,-1.21,76.36,59.25,Neutral,1.57,29.7556,Bullish,★★★★☆ →,2.06,0.0,1.36,No,Not expected,Not imminent,2.0,Increasing,0.14,2.06,Balanced metrics,30.28,Low,,444.5,,-
NVS,Healthcare,131.55,0.22,76.22,61.39,Neutral,1.38,128.6821,Bullish,★★★★☆ →,6.21,0.0,2.23,No,Not expected,Not imminent,2.0,Increasing,0.02,6.21,Healthy momentum,133.18,Low,,202.5,,-
PGNY,Healthcare,26.82,9.25,76.16,79.03,Overbought,4.48,21.9219,Bullish,★★★★☆ ↓,45.52,0.0,22.34,No,Likely soon,Imminent,2.1,Increasing,1.0,45.52,Strong trend; Healthy momentum; Recent high,29.26,High,,7.0,,-
CME,Financial Services,279.13,-2.07,76.11,60.4,Neutral,2.03,273.7502,Bullish,★★★★☆ →,5.67,0.0,1.97,No,Not expected,Not imminent,2.3,Increasing,0.01,5.67,Healthy momentum,282.3,Low,,222.0,,-
CMS,Utilities,74.46,0.7,75.95,57.4,Neutral,1.77,73.5074,Bullish,★★★★☆ →,3.49,0.0,1.3,No,Not expected,Not imminent,2.2,Increasing,0.17,3.49,Balanced metrics,74.98,Low,,339.5,,-
BTI,Consumer Defensive,54.71,1.07,75.81,59.69,Neutral,1.62,53.6192,Bullish,★★★★☆ →,4.33,0.0,2.03,No,Not expected,Not imminent,2.7,Increasing,0.01,4.33,Balanced metrics,55.18,Low,,291.0,,-
EPD,Energy,31.75,-1.58,75.6,60.96,Neutral,1.8,31.1397,Bullish,★★★★☆ →,3.89,0.0,1.96,No,Not expected,Not imminent,2.2,Increasing,0.0,3.89,Balanced metrics,32.0,Low,,325.0,,-
EWH,Unknown,22.36,-1.8,75.57,55.8,Neutral,1.37,22.1693,Neutral,★★★★☆ →,1.64,0.0,0.86,No,Not expected,Not imminent,2.4,Increasing,0.17,1.64,Balanced metrics,22.43,Low,,477.0,,-
AER,Industrials,132.97,-2.84,75.3,58.57,Neutral,2.6,131.1044,Bullish,★★★★☆ →,1.5,0.0,1.42,No,Not expected,Not imminent,2.0,Increasing,0.17,1.5,Balanced metrics,133.37,Low,,488.5,,-
GILD,Healthcare,124.09,-0.74,75.27,59.39,Neutral,2.99,121.4809,Bullish,★★★★☆ →,1.67,0.0,2.15,No,Not expected,Not imminent,2.1,Increasing,0.2,1.67,Balanced metrics,124.5,Low,,473.0,,-
XLE,Unknown,90.34,-1.83,75.19,56.14,Neutral,1.74,89.2324,Bullish,★★★★☆ →,2.5,0.0,1.24,No,Not expected,Not imminent,2.3,Increasing,0.0,2.5,Balanced metrics,90.79,Low,,404.0,,-
TIGO,Communication Services,53.53,6.36,75.13,72.63,Overbought,3.62,48.7879,Bullish,★★★★☆ ↓,15.34,0.0,9.72,No,Likely soon,Imminent,2.4,Increasing,1.0,15.34,Strong trend; Healthy momentum; Recent high,55.17,High,,56.0,,-
PAA,Energy,16.85,-0.53,75.07,59.54,Neutral,2.03,16.5268,Bullish,★★★★☆ →,3.37,0.0,1.96,No,Not expected,Not imminent,2.2,Increasing,0.0,3.37,Balanced metrics,16.96,Low,,349.5,,-
BBVA,Financial Services,20.77,-1.98,75.01,56.11,Neutral,2.19,20.505,Bullish,★★★★☆ →,4.48,0.0,1.29,No,Not expected,Not imminent,2.2,Increasing,0.17,4.48,Balanced metrics,20.96,Low,,286.0,,-
SH,Unknown,37.25,0.98,74.97,58.69,Neutral,1.21,36.6904,Bullish,★★★★☆ →,2.84,0.0,1.53,No,Not expected,Not imminent,1.6,Increasing,0.0,2.84,Balanced metrics,37.46,Low,,381.0,,-
UHS,Healthcare,226.5,0.65,74.96,61.9,Neutral,2.92,220.5925,Bullish,★★★★☆ →,2.63,0.0,2.68,No,Not expected,Not imminent,1.8,Increasing,0.09,2.63,Strong trend,227.69,Low,,397.0,,-
ET,Energy,16.94,-0.41,74.95,59.14,Neutral,1.8,16.6208,Bullish,★★★★☆ →,2.68,0.0,1.92,No,Not expected,Not imminent,2.1,Increasing,0.0,2.68,Balanced metrics,17.03,Low,,393.0,,-
LNT,Utilities,68.1,1.14,74.85,57.9,Neutral,1.35,67.3642,Bullish,★★★★☆ →,2.45,0.0,1.09,No,Not expected,Not imminent,2.0,Increasing,0.04,2.45,Balanced metrics,68.43,Low,,406.0,,-
PAGP,Energy,17.76,-0.56,74.76,58.3,Neutral,1.82,17.4447,Bullish,★★★★☆ →,3.44,0.0,1.81,No,Not expected,Not imminent,2.1,Increasing,0.0,3.44,Balanced metrics,17.88,Low,,345.0,,-
MPLX,Energy,52.8,-0.77,74.71,69.89,Neutral,1.56,50.886,Bullish,★★★★☆ →,6.05,0.0,3.76,No,Not expected,Not imminent,2.0,Increasing,0.25,6.05,Strong trend; Healthy momentum,53.44,Low,,211.0,,-
VALE,Basic Materials,12.17,-1.06,74.63,60.18,Neutral,2.1,11.9806,Bullish,★★★★☆ →,-0.25,0.0,1.58,No,Not expected,Not imminent,2.0,Increasing,0.17,-0.25,Balanced metrics,12.16,Low,,760.0,,-
IAS,Communication Services,10.24,-0.29,74.31,63.88,Neutral,0.26,10.2048,Neutral,★★★★☆ →,0.2,0.0,0.34,No,Not expected,Not imminent,1.6,Increasing,0.0,0.2,Balanced metrics,10.24,Low,,628.0,,-
DFIV,Unknown,47.26,-1.36,74.27,56.48,Neutral,0.96,46.9637,Neutral,★★★★☆ →,1.96,0.0,0.63,No,Not expected,Not imminent,2.2,Increasing,0.17,1.96,Balanced metrics,47.45,Low,,455.5,,-
AON,Financial Services,350.02,-0.03,74.2,54.18,Neutral,2.13,346.1281,Bullish,★★★★☆ →,3.0,0.0,1.12,No,Not expected,Not imminent,2.0,Increasing,0.0,3.0,Balanced metrics,352.12,Low,,371.0,,-
DXD,Unknown,21.96,2.43,74.15,55.96,Neutral,2.26,21.4123,Bullish,★★★★☆ →,3.29,0.0,2.56,No,Not expected,Not imminent,2.0,Increasing,0.0,3.29,Strong trend,22.1,Low,,353.0,,-
VRTX,Healthcare,434.02,-0.72,74.12,62.0,Neutral,2.77,423.577,Bullish,★★★★☆ →,1.88,0.0,2.47,No,Not expected,Not imminent,2.1,Increasing,0.0,1.88,Balanced metrics,435.65,Low,,459.5,,-
JMST,Unknown,50.92,0.0,74.12,63.34,Neutral,0.1,50.8823,Neutral,★★★★☆ →,0.12,0.0,0.07,No,Not expected,Not imminent,2.2,Increasing,0.17,0.12,Balanced metrics,50.93,Low,,657.5,,-
PEP,Consumer Defensive,147.83,1.36,74.09,55.51,Neutral,1.8,145.8405,Bullish,★★★★☆ →,2.95,0.0,1.36,No,Not expected,Not imminent,1.7,Increasing,0.0,2.95,Balanced metrics,148.7,Low,,375.5,,-
FOXA,Communication Services,64.55,-0.45,73.98,57.14,Neutral,2.94,63.8235,Bullish,★★★★☆ →,1.46,0.0,1.14,No,Not expected,Not imminent,2.0,Increasing,0.17,1.46,Balanced metrics,64.74,Low,,493.0,,-
PSQ,Unknown,31.02,0.88,73.89,57.35,Neutral,1.71,30.4275,Bullish,★★★★☆ →,4.83,0.0,1.95,No,Not expected,Not imminent,1.6,Increasing,0.0,4.83,Balanced metrics,31.32,Low,,269.0,,-
AFL,Financial Services,112.27,-1.81,73.85,55.51,Neutral,1.92,111.4298,Neutral,★★★★☆ →,4.95,0.0,0.75,No,Not expected,Not imminent,2.2,Increasing,0.2,4.95,Balanced metrics,113.38,Low,,261.0,,-
APG,Industrials,37.4,0.13,73.84,60.16,Neutral,3.13,36.3351,Bullish,★★★★☆ →,4.53,0.0,2.93,No,Not expected,Not imminent,2.0,Increasing,0.17,4.53,Strong trend,37.74,Low,,282.0,,-
SPNT,Financial Services,19.73,-2.95,73.81,58.77,Neutral,2.86,19.3191,Bullish,★★★★☆ →,4.5,0.0,2.13,No,Not expected,Not imminent,1.8,Increasing,0.01,4.5,Balanced metrics,19.91,Low,,285.0,,-
EOG,Energy,109.48,-0.83,73.8,55.96,Neutral,1.9,107.8265,Bullish,★★★★☆ →,3.63,0.0,1.53,No,Not expected,Not imminent,1.9,Increasing,0.0,3.63,Balanced metrics,110.27,Low,,334.0,,-
RPRX,Healthcare,39.16,0.0,73.79,60.19,Neutral,3.23,38.1654,Bullish,★★★★☆ →,5.57,0.0,2.61,No,Not expected,Not imminent,2.3,Increasing,0.08,5.57,Strong trend; Healthy momentum,39.6,Low,,229.0,,-
DINO,Energy,54.98,-2.1,73.75,55.91,Neutral,3.79,53.9496,Bullish,★★★★☆ →,2.98,0.0,1.91,No,Not expected,Not imminent,1.9,Increasing,0.25,2.98,Balanced metrics,55.31,Low,,372.5,,-
XOP,Unknown,131.44,-1.92,73.68,54.57,Neutral,2.36,129.6609,Bullish,★★★★☆ →,2.96,0.0,1.37,No,Not expected,Not imminent,2.2,Increasing,0.0,2.96,Balanced metrics,132.22,Low,,374.0,,-
FENY,Unknown,24.97,-1.81,73.67,55.13,Neutral,1.72,24.7251,Neutral,★★★★☆ →,1.96,0.0,0.99,No,Not expected,Not imminent,2.4,Increasing,0.0,1.96,Balanced metrics,25.07,Low,,455.5,,-
EXC,Utilities,46.6,1.44,73.62,56.18,Neutral,2.13,46.0559,Bullish,★★★★☆ →,1.75,0.0,1.18,No,Not expected,Not imminent,2.2,Increasing,0.03,1.75,Balanced metrics,46.76,Low,,465.0,,-
FOX,Communication Services,58.06,-0.68,73.62,56.77,Neutral,2.92,57.4567,Bullish,★★★★☆ →,1.29,0.0,1.05,No,Not expected,Not imminent,2.0,Increasing,0.17,1.29,Balanced metrics,58.21,Low,,509.0,,-
MUFG,Financial Services,15.42,-2.34,73.53,53.74,Neutral,1.72,15.2738,Neutral,★★★★☆ →,1.65,0.0,0.96,No,Not expected,Not imminent,1.7,Increasing,0.02,1.65,Balanced metrics,15.47,Low,,475.5,,-
FR,Real Estate,55.69,-0.07,73.5,56.76,Neutral,1.69,55.3785,Neutral,★★★★☆ →,0.78,0.0,0.56,No,Not expected,Not imminent,1.8,Increasing,0.14,0.78,Balanced metrics,55.78,Low,,558.0,,-
HQY,Healthcare,100.17,-1.57,73.39,61.13,Neutral,2.95,96.8272,Bullish,★★★★☆ →,5.65,0.0,3.45,No,Not expected,Not imminent,1.8,Increasing,0.0,5.65,Strong trend; Healthy momentum,101.3,Low,,225.0,,-
LKSPU,Financial Services,10.11,0.0,73.33,59.71,Neutral,0.71,10.0893,Neutral,★★★★☆ →,0.4,0.0,0.21,No,Not expected,Not imminent,1.2,Increasing,0.08,0.4,Balanced metrics,10.12,Low,,594.0,,-
PFE,Healthcare,25.08,0.08,73.31,55.82,Neutral,2.69,24.7358,Bullish,★★★★☆ →,3.49,0.0,1.39,No,Not expected,Not imminent,1.8,Increasing,0.02,3.49,Balanced metrics,25.26,Low,,339.5,,-
SEE,Consumer Cyclical,41.92,-3.14,73.28,71.96,Overbought,3.97,37.3177,Bullish,★★★★☆ ↓,23.37,0.0,12.33,No,Likely soon,Not imminent,1.9,Increasing,0.25,23.37,Strong trend; Healthy momentum,43.88,High,,27.0,,-
CMI,Industrials,455.98,-1.43,73.19,55.77,Neutral,3.39,450.0734,Bullish,★★★★☆ →,4.17,0.0,1.31,No,Not expected,Not imminent,2.3,Increasing,0.12,4.17,Balanced metrics,459.78,Low,,300.0,,-
VIV,Communication Services,12.88,-1.75,73.07,56.53,Neutral,2.26,12.6797,Bullish,★★★★☆ →,7.15,0.0,1.58,No,Not expected,Not imminent,2.2,Increasing,0.17,7.15,Healthy momentum,13.06,Low,,177.5,,-
DE,Industrials,475.98,-0.05,73.06,55.25,Neutral,2.2,470.9058,Bullish,★★★★☆ →,3.04,0.0,1.08,No,Not expected,Not imminent,1.8,Increasing,0.01,3.04,Balanced metrics,478.87,Low,,365.5,,-
TMV,Unknown,35.14,-0.73,72.92,57.84,Neutral,2.07,34.2028,Bullish,★★★★☆ →,2.45,0.0,2.74,No,Not expected,Not imminent,1.7,Increasing,0.01,2.45,Strong trend,35.31,Low,,406.0,,-
FANG,Energy,146.37,-1.9,72.78,55.79,Neutral,2.81,143.3934,Bullish,★★★★☆ →,4.32,0.0,2.08,No,Not expected,Not imminent,2.1,Increasing,0.0,4.32,Balanced metrics,147.63,Low,,292.0,,-
ES,Utilities,74.03,1.0,72.78,58.1,Neutral,1.92,73.1294,Bullish,★★★★☆ →,-0.44,0.0,1.23,No,Not expected,Not imminent,2.1,Increasing,0.05,-0.44,Balanced metrics,73.96,Low,,783.5,,-
VOD,Communication Services,12.21,-0.89,72.77,57.64,Neutral,2.51,11.8996,Bullish,★★★★☆ →,7.29,0.0,2.61,No,Not expected,Not imminent,1.8,Increasing,0.14,7.29,Strong trend; Healthy momentum,12.39,Low,,173.0,,-
UUP,Unknown,28.18,0.25,72.73,59.9,Neutral,0.36,28.0733,Neutral,★★★★☆ →,-0.18,0.0,0.38,No,Not expected,Not imminent,1.8,Increasing,0.0,-0.18,Balanced metrics,28.17,Low,,748.0,,-
FDX,Industrials,264.73,-1.06,72.68,64.33,Neutral,2.46,255.8775,Bullish,★★★★☆ →,4.64,0.0,3.46,No,Not expected,Not imminent,1.8,Increasing,0.0,4.64,Strong trend,267.19,Low,,279.5,,-
QYLD,Unknown,17.39,-0.23,72.63,57.76,Neutral,0.55,17.3509,Neutral,★★★★☆ →,-0.4,0.0,0.23,No,Not expected,Not imminent,2.5,Increasing,0.12,-0.4,Balanced metrics,17.38,Low,,777.0,,-
RWM,Unknown,17.51,2.04,72.48,65.36,Neutral,1.81,16.8238,Bullish,★★★★☆ →,5.48,0.0,4.08,No,Not expected,Imminent,1.7,Increasing,0.0,5.48,Strong trend; Healthy momentum,17.7,Low,,234.0,,-
SONY,Technology,29.09,-3.42,72.48,52.21,Neutral,2.5,28.8476,Neutral,★★★★☆ →,4.08,0.0,0.84,No,Not expected,Not imminent,1.8,Increasing,0.17,4.08,Balanced metrics,29.33,Low,,310.0,,-
MT,Basic Materials,39.27,-0.51,72.4,54.21,Neutral,2.35,38.9297,Neutral,★★★★☆ →,2.88,0.0,0.87,No,Not expected,Not imminent,2.0,Increasing,0.02,2.88,Balanced metrics,39.5,Low,,378.5,,-
NEA,Financial Services,11.52,-0.09,72.35,57.1,Neutral,0.92,11.4641,Neutral,★★★★☆ →,-0.45,0.0,0.49,No,Not expected,Not imminent,1.8,Increasing,0.14,-0.45,Balanced metrics,11.51,Low,,786.5,,-
SPSB,Unknown,30.19,0.03,72.27,59.08,Neutral,0.11,30.1701,Neutral,★★★★☆ →,0.13,0.0,0.07,No,Not expected,Not imminent,1.9,Increasing,0.14,0.13,Balanced metrics,30.2,Low,,652.5,,-
YUMC,Consumer Cyclical,46.38,0.45,72.21,62.69,Neutral,2.27,44.8548,Bullish,★★★★☆ →,5.46,0.0,3.4,No,Not expected,Not imminent,1.7,Increasing,0.0,5.46,Strong trend; Healthy momentum,46.89,Low,,235.5,,-
DLTR,Consumer Defensive,103.67,-1.03,72.18,55.39,Neutral,3.21,102.1836,Bullish,★★★★☆ →,2.8,0.0,1.45,No,Not expected,Not imminent,1.8,Increasing,0.01,2.8,Balanced metrics,104.25,Low,,384.5,,-
SJM,Consumer Defensive,106.54,-2.38,72.13,54.2,Neutral,2.37,105.5419,Neutral,★★★★☆ →,3.83,0.0,0.95,No,Not expected,Not imminent,1.6,Increasing,0.0,3.83,Balanced metrics,107.36,Low,,327.0,,-
TAK,Healthcare,14.14,-1.05,72.12,54.13,Neutral,1.72,13.9611,Bullish,★★★★☆ →,5.37,0.0,1.28,No,Not expected,Not imminent,2.0,Increasing,0.01,5.37,Healthy momentum,14.29,Low,,239.5,,-
GAP,Consumer Cyclical,23.77,-1.57,72.09,55.15,Neutral,3.93,23.3594,Bullish,★★★★☆ →,4.21,0.0,1.76,No,Not expected,Not imminent,2.0,Increasing,0.01,4.21,Balanced metrics,23.97,Low,,298.5,,-
CDTX,Healthcare,217.91,0.09,72.06,88.73,Overbought,6.18,123.562,Bullish,★★★★☆ ↓,112.12,0.0,76.36,No,Likely soon,Not imminent,1.9,Increasing,1.0,112.12,Strong trend; Healthy momentum; Recent high,266.77,High,,3.0,,-
JPIE,Unknown,46.24,0.02,72.05,58.47,Neutral,0.11,46.2018,Neutral,★★★★☆ →,0.13,0.0,0.08,No,Not expected,Not imminent,2.7,Increasing,0.14,0.13,Balanced metrics,46.25,Low,,652.5,,-
IFF,Basic Materials,65.13,-1.14,72.0,54.56,Neutral,2.83,64.1554,Bullish,★★★★☆ →,4.91,0.0,1.52,No,Not expected,Not imminent,1.8,Increasing,0.0,4.91,Balanced metrics,65.77,Low,,264.0,,-
EXAS,Healthcare,67.15,0.18,71.94,62.23,Neutral,3.62,65.5014,Bullish,★★★★☆ →,0.25,0.0,2.52,No,Not expected,Not imminent,1.9,Increasing,0.08,0.25,Strong trend,67.18,Low,,620.5,,-
SBLK,Industrials,19.15,1.22,71.9,61.51,Neutral,2.54,18.4999,Bullish,★★★★☆ →,4.87,0.0,3.51,No,Not expected,Not imminent,2.3,Increasing,0.02,4.87,Strong trend,19.34,Low,,267.0,,-
VYMI,Unknown,86.44,-1.28,71.88,53.89,Neutral,0.86,86.2482,Neutral,★★★★☆ →,1.25,0.0,0.22,No,Not expected,Not imminent,2.2,Increasing,0.17,1.25,Balanced metrics,86.66,Low,,513.5,,-
BMY,Healthcare,46.81,0.34,71.85,55.1,Neutral,2.88,46.2905,Bullish,★★★★☆ →,1.72,0.0,1.12,No,Not expected,Not imminent,1.9,Increasing,0.0,1.72,Balanced metrics,46.97,Low,,468.5,,-
TRVI,Healthcare,11.35,-0.18,71.82,57.75,Neutral,6.09,11.0374,Bullish,★★★★☆ →,6.07,0.0,2.83,No,Not expected,Not imminent,1.9,Increasing,0.14,6.07,Strong trend; Healthy momentum,11.49,High,,209.0,,-
AKRO,Healthcare,54.35,0.18,71.8,69.02,Neutral,0.36,53.6282,Bullish,★★★★☆ →,0.48,0.0,1.35,No,Not expected,Not imminent,1.9,Decreasing,0.0,0.48,Balanced metrics,54.4,Low,,584.0,,-
SHY,Unknown,82.82,-0.01,71.77,57.09,Neutral,0.08,82.7756,Neutral,★★★★☆ →,0.12,0.0,0.05,No,Not expected,Not imminent,2.0,Increasing,0.14,0.12,Balanced metrics,82.84,Low,,657.5,,-
HTHT,Consumer Cyclical,44.94,2.6,71.76,72.48,Overbought,3.52,41.6725,Bullish,★★★★☆ ↓,13.48,0.0,7.84,No,Not expected,Not imminent,1.9,Increasing,0.17,13.48,Strong trend; Healthy momentum,46.15,High,,76.0,,-
EFC,Real Estate,13.6,-1.02,71.68,53.19,Neutral,2.12,13.5251,Neutral,★★★★☆ →,0.89,0.0,0.55,No,Not expected,Not imminent,2.0,Increasing,0.14,0.89,Balanced metrics,13.62,Low,,549.5,,-
EFV,Unknown,69.25,-1.44,71.68,52.75,Neutral,0.93,69.202,Neutral,★★★★☆ →,1.18,0.0,0.07,No,Not expected,Not imminent,2.4,Increasing,0.17,1.18,Balanced metrics,69.41,Low,,521.0,,-
DAY,Technology,68.83,-0.25,71.64,57.69,Neutral,0.42,68.6551,Neutral,★★★★☆ →,0.2,0.0,0.25,No,Not expected,Not imminent,1.9,Increasing,0.0,0.2,Balanced metrics,68.86,Low,,628.0,,-
DG,Consumer Defensive,103.15,-1.1,71.61,53.05,Neutral,2.69,101.995,Bullish,★★★★☆ →,4.01,0.0,1.13,No,Not expected,Not imminent,2.0,Increasing,0.01,4.01,Balanced metrics,103.98,Low,,313.0,,-
UPS,Industrials,94.19,-1.86,71.6,56.3,Neutral,2.54,93.0241,Bullish,★★★★☆ →,0.11,0.0,1.25,No,Not expected,Not imminent,1.8,Increasing,0.0,0.11,Balanced metrics,94.21,Low,,661.0,,-
TXNM,Utilities,57.8,-0.07,71.58,73.58,Overbought,0.41,57.2267,Bullish,★★★★☆ ↓,1.58,0.0,1.0,No,Not expected,Not imminent,1.7,Increasing,0.25,1.58,Balanced metrics,57.98,High,,480.5,,-
ALC,Healthcare,76.61,-1.34,71.57,53.01,Neutral,2.31,75.9569,Neutral,★★★★☆ →,3.7,0.0,0.86,No,Not expected,Not imminent,1.9,Increasing,0.01,3.7,Balanced metrics,77.18,Low,,331.5,,-
PBA,Energy,38.43,-0.75,71.56,52.18,Neutral,1.91,38.1086,Neutral,★★★★☆ →,2.04,0.0,0.84,No,Not expected,Not imminent,1.9,Increasing,0.02,2.04,Balanced metrics,38.59,Low,,446.5,,-
OKE,Energy,68.86,-2.31,71.5,51.87,Neutral,2.66,68.281,Neutral,★★★★☆ →,5.35,0.0,0.85,No,Not expected,Not imminent,1.7,Increasing,0.0,5.35,Healthy momentum,69.6,Low,,243.0,,-
SDS,Unknown,14.58,1.89,71.49,57.68,Neutral,2.39,14.1774,Bullish,★★★★☆ →,5.5,0.0,2.84,No,Not expected,Not imminent,1.6,Increasing,0.0,5.5,Strong trend; Healthy momentum,14.74,Low,,232.5,,-
