Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
NVDA,Technology,186.6,-1.88,34.53,46.4,Neutral,4.59,191.4464,Bearish,★★☆☆☆ →,-9.8,0.0,-2.53,No,Not expected,Not imminent,1.9,Increasing,0.05,-9.8,Balanced metrics,182.94,Low,,35.0,,-
ENPH,Technology,27.53,-4.01,31.51,34.13,Neutral,8.0,31.6243,Bearish,★★☆☆☆ →,-6.71,0.0,-12.95,No,Not expected,Not imminent,1.7,Increasing,0.0,-6.71,Balanced metrics,27.16,High,,28.0,,-
SEDG,Technology,34.27,-5.28,29.64,43.87,Neutral,12.56,38.1072,Bearish,★★☆☆☆ →,4.26,0.0,-10.07,No,Not expected,Not imminent,2.2,Increasing,0.12,4.26,Balanced metrics,34.56,High,,4.0,,-
INTC,Technology,34.71,-2.28,28.94,40.67,Neutral,4.64,37.2468,Bearish,★★☆☆☆ →,-12.13,0.0,-6.81,No,Not expected,Not imminent,1.9,Decreasing,0.05,-12.13,Balanced metrics,33.87,Low,,36.0,,-
ZS,Technology,294.92,-1.51,27.83,38.16,Neutral,3.8,314.8135,Bearish,★★☆☆☆ →,-12.3,0.0,-6.32,No,Not expected,Not imminent,2.2,Increasing,0.07,-12.3,Balanced metrics,287.66,Low,,37.0,,-
SHOP,Technology,139.93,-4.18,25.63,32.66,Neutral,5.86,157.3636,Bearish,★★☆☆☆ →,-19.09,0.0,-11.08,No,Not expected,Not imminent,2.1,Increasing,0.05,-19.09,Balanced metrics,134.59,High,,40.0,,-
PLTR,Technology,171.25,-1.59,23.82,42.24,Neutral,6.54,182.9825,Bearish,★★☆☆☆ →,-17.34,0.0,-6.41,No,Not expected,Not imminent,2.3,Increasing,0.07,-17.34,Balanced metrics,165.31,High,,39.0,,-
META,Communication Services,602.01,-1.22,22.94,25.53,Oversold,4.04,652.1516,Bearish,★★☆☆☆ ↑,-5.6,0.0,-7.69,No,Not expected,Not imminent,2.2,Increasing,0.01,-5.6,Balanced metrics,595.27,Low,,27.0,,-
TSLA,Consumer Cyclical,408.92,1.13,22.6,42.64,Neutral,5.55,432.8454,Bearish,★★☆☆☆ →,-12.69,0.0,-5.53,No,Not expected,Not imminent,1.9,Increasing,0.0,-12.69,Balanced metrics,398.54,High,,38.0,,-
HD,Consumer Cyclical,358.03,-1.19,21.61,27.07,Oversold,2.08,375.1301,Bearish,★★☆☆☆ ↑,-5.37,0.0,-4.56,No,Not expected,Not imminent,1.8,Increasing,0.0,-5.37,Balanced metrics,354.18,Low,,25.0,,-
COIN,Financial Services,263.95,-7.06,18.85,32.91,Neutral,7.92,312.5154,Bearish,★★☆☆☆ →,-20.12,0.0,-15.54,No,Not expected,Not imminent,1.8,Increasing,0.01,-20.12,Balanced metrics,253.33,High,,41.0,,-
SMCI,Technology,34.1,-6.37,17.1,27.11,Oversold,8.14,43.164,Bearish,★★☆☆☆ ↑,-32.81,0.0,-21.0,No,Not expected,Not imminent,1.9,Decreasing,0.01,-32.81,Balanced metrics,31.86,High,,44.0,,-
CELH,Consumer Defensive,40.16,-6.15,15.85,24.19,Oversold,9.28,51.0695,Bearish,★★☆☆☆ ↑,-32.22,0.0,-21.36,No,Not expected,Not imminent,2.4,Increasing,0.03,-32.22,Balanced metrics,37.57,High,,43.0,,-
MSTR,Technology,195.42,-2.17,11.81,24.35,Oversold,8.19,247.8345,Bearish,★☆☆☆☆ ↑,-26.16,0.0,-21.15,No,Not expected,Not imminent,1.8,Increasing,0.0,-26.16,Balanced metrics,185.2,High,,42.0,,-
