Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
CRWD,Technology,515.2,-2.75,29.9,46.04,Neutral,3.5,529.865,Bearish,★★☆☆☆ →,-3.51,0.0,-2.77,No,Not expected,Not imminent,2.0,Increasing,0.11,-3.51,1.2216,6.8996,-5.678,31.91,37.64,418.9732,Above VWAP,511.59,Low,,23.0,,-
AVGO,Technology,341.1,-0.45,29.52,44.57,Neutral,4.16,350.7693,Bearish,★★☆☆☆ →,-3.08,0.0,-2.76,No,Not expected,Not imminent,2.1,Increasing,0.05,-3.08,-3.6085,-0.6519,-2.9565,22.66,21.9,244.6404,Above VWAP,338.99,Low,,21.0,,-
PANW,Technology,202.16,-0.36,29.27,38.12,Neutral,2.77,210.5503,Bearish,★★☆☆☆ →,-5.76,0.0,-3.98,No,Not expected,Not imminent,2.1,Increasing,0.05,-5.76,-2.8288,-0.7892,-2.0396,21.1,18.82,189.1414,Above VWAP,199.83,Low,,30.0,,-
ENPH,Technology,27.85,1.16,29.1,35.48,Neutral,6.67,31.2649,Bearish,★★☆☆☆ →,-4.0,0.0,-10.92,No,Not expected,Not imminent,1.7,Increasing,0.0,-4.0,-1.552,-1.3583,-0.1937,6.53,6.86,44.3931,Balanced metrics,27.63,High,,27.0,,-
COIN,Financial Services,264.3,0.13,26.19,33.06,Neutral,7.78,307.923,Bearish,★★☆☆☆ →,-14.0,0.0,-14.17,No,Not expected,Not imminent,1.8,Increasing,0.01,-14.0,-17.4545,-12.0662,-5.3883,9.1,10.48,292.1116,Balanced metrics,256.89,High,,41.0,,-
MRNA,Healthcare,24.77,0.04,25.45,45.6,Neutral,6.78,25.455,Bearish,★★☆☆☆ →,4.29,0.0,-2.69,No,Not expected,Not imminent,1.8,Increasing,0.0,4.29,-0.2945,-0.3032,0.0086,28.03,32.23,30.4748,Bullish MACD,24.98,High,,8.0,,-
INTC,Technology,34.45,-0.75,25.2,39.77,Neutral,4.69,36.9805,Bearish,★★☆☆☆ →,-6.97,0.0,-6.84,No,Not expected,Not imminent,1.9,Decreasing,0.05,-6.97,-0.8031,-0.1179,-0.6852,9.6,10.27,25.1531,Above VWAP,33.97,Low,,31.0,,-
MSTR,Technology,208.93,6.91,23.91,31.74,Neutral,7.87,244.1288,Bearish,★★☆☆☆ →,-15.41,0.0,-14.42,No,Not expected,Not imminent,1.8,Increasing,0.0,-15.41,-20.8356,-18.5065,-2.3291,11.17,6.57,348.0219,Balanced metrics,202.49,High,,42.0,,-
NVDA,Technology,182.47,-2.21,22.11,43.11,Neutral,4.53,190.5915,Bearish,★★☆☆☆ →,-8.16,0.0,-4.26,No,Not expected,Not imminent,1.9,Increasing,0.05,-8.16,-1.5928,0.5506,-2.1433,22.64,27.91,142.8102,Above VWAP,179.49,Low,,33.0,,-
AMD,Technology,231.59,-3.71,22.05,47.82,Neutral,6.32,240.8192,Bearish,★★☆☆☆ →,-7.38,0.0,-3.83,No,Not expected,Not imminent,2.0,Increasing,0.05,-7.38,0.2973,4.148,-3.8507,35.79,48.87,151.4686,Above VWAP,228.17,High,,32.0,,-
ZS,Technology,295.0,0.03,20.66,38.22,Neutral,3.69,312.9265,Bearish,★★☆☆☆ →,-10.14,0.0,-5.73,No,Not expected,Not imminent,2.2,Increasing,0.06,-10.14,-5.1826,0.0411,-5.2237,11.19,12.1,245.0703,Above VWAP,289.02,Low,,36.0,,-
SHOP,Technology,140.6,0.48,19.8,33.52,Neutral,5.85,155.767,Bearish,★★☆☆☆ →,-12.64,0.0,-9.74,No,Not expected,Not imminent,2.1,Increasing,0.05,-12.64,-5.9523,-2.8102,-3.1422,8.39,10.35,118.3883,Above VWAP,137.05,High,,40.0,,-
META,Communication Services,600.36,-0.27,19.78,25.2,Oversold,4.09,647.219,Bearish,★★☆☆☆ ↑,-4.3,0.0,-7.24,No,Not expected,Not imminent,2.2,Increasing,0.01,-4.3,-24.8972,-24.3343,-0.5629,9.97,7.49,651.9412,Balanced metrics,595.2,Low,,28.0,,-
TSLA,Consumer Cyclical,402.15,-1.65,18.92,40.9,Neutral,5.68,429.9223,Bearish,★★☆☆☆ →,-9.48,0.0,-6.46,No,Not expected,Not imminent,1.9,Increasing,0.0,-9.48,-10.5455,-4.2346,-6.3109,24.49,20.07,341.7371,Above VWAP,394.53,High,,35.0,,-
AMZN,Consumer Cyclical,223.85,-3.87,18.62,41.32,Neutral,3.94,235.4146,Bearish,★★☆☆☆ →,-10.22,0.0,-4.91,No,Not expected,Not imminent,1.9,Increasing,0.06,-10.22,-0.1877,3.3489,-3.5366,21.83,33.76,214.8804,Above VWAP,219.27,Low,,37.0,,-
PLTR,Technology,167.96,-1.92,18.2,40.44,Neutral,6.54,181.5517,Bearish,★★☆☆☆ →,-11.94,0.0,-7.49,No,Not expected,Not imminent,2.3,Increasing,0.06,-11.94,-4.1597,-1.067,-3.0927,15.28,18.0,117.9719,Above VWAP,163.95,High,,39.0,,-
HD,Consumer Cyclical,337.68,-5.68,14.03,18.54,Oversold,2.42,371.5636,Bearish,★★☆☆☆ ↑,-11.85,0.0,-9.12,No,Not expected,Not imminent,1.8,Increasing,0.0,-11.85,-8.5778,-5.4341,-3.1436,5.15,11.42,379.937,Balanced metrics,329.68,Low,,38.0,,-
SEDG,Technology,36.04,5.16,13.31,47.11,Neutral,12.2,37.9104,Bearish,★★☆☆☆ →,13.26,0.0,-4.93,No,Not expected,Not imminent,2.2,Increasing,0.11,13.26,-0.3583,0.3336,-0.6919,28.55,34.01,22.2077,Healthy momentum; Above VWAP,37.0,High,,2.0,,-
CELH,Consumer Defensive,40.91,1.87,11.11,26.46,Oversold,8.99,50.1019,Bearish,★☆☆☆☆ ↑,-31.31,0.0,-18.35,No,Not expected,Not imminent,2.4,Increasing,0.03,-31.31,-4.7904,-3.8913,-0.8991,6.08,10.08,38.3014,Above VWAP,38.35,High,,44.0,,-
