Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
MSFT,Technology,507.49,-0.53,36.19,45.55,Neutral,2.14,512.1338,Neutral,★★☆☆☆ →,-1.85,0.0,-0.91,No,Not expected,Not imminent,2.1,Increasing,0.05,-1.85,-3.1048,-2.8824,-0.2224,23.82,24.15,453.5601,Above VWAP,505.61,Low,,17.0,,New
QQQ,Unknown,603.66,-0.85,34.85,43.53,Neutral,1.79,614.6686,Bearish,★★☆☆☆ →,-4.5,0.0,-1.79,No,Not expected,Not imminent,2.3,Increasing,0.05,-4.5,-1.9578,1.2847,-3.2424,23.67,36.42,537.041,Above VWAP,598.23,Low,,22.0,,New
CAT,Industrials,552.05,-0.36,33.74,54.37,Neutral,3.99,550.5433,Neutral,★★☆☆☆ →,-3.25,0.0,0.27,No,Not expected,Not imminent,2.3,Increasing,0.05,-3.25,5.4813,10.8006,-5.3193,35.46,48.89,394.5167,Above VWAP,548.46,Low,,19.0,,New
CRWD,Technology,529.78,-1.45,32.2,52.04,Neutral,3.37,531.4085,Neutral,★★☆☆☆ →,-4.01,0.0,-0.31,No,Not expected,Not imminent,2.0,Increasing,0.12,-4.01,4.2376,8.3191,-4.0815,36.85,46.94,418.7796,Above VWAP,525.53,Low,,21.0,,New
NKE,Consumer Cyclical,62.9,-1.98,32.18,41.36,Neutral,2.99,64.6667,Bearish,★★☆☆☆ →,0.4,0.0,-2.73,No,Not expected,Not imminent,1.5,Increasing,0.0,0.4,-0.7328,-1.1665,0.4338,47.0,45.11,67.9909,Bullish MACD,62.95,Low,,12.0,,-
UBER,Technology,92.11,0.53,29.82,43.63,Neutral,3.29,93.7957,Bearish,★★☆☆☆ →,-7.63,0.0,-1.8,No,Not expected,Not imminent,1.9,Increasing,0.02,-7.63,-0.812,-0.5469,-0.2651,19.47,23.6,80.3443,Above VWAP,90.7,Low,,31.0,,-
QCOM,Technology,166.75,-4.16,29.17,43.99,Neutral,3.68,172.9057,Bearish,★★☆☆☆ →,-7.73,0.0,-3.56,No,Not expected,Not imminent,2.1,Decreasing,0.05,-7.73,-0.3351,1.0046,-1.3397,19.22,20.44,157.4435,Above VWAP,164.17,Low,,32.0,,-
FSLR,Technology,253.54,0.18,28.91,52.53,Neutral,5.65,253.839,Neutral,★★☆☆☆ →,-4.58,0.0,-0.12,No,Not expected,Not imminent,1.6,Increasing,0.08,-4.58,3.6064,6.9437,-3.3373,44.35,53.92,172.9262,Above VWAP,251.22,High,,23.0,,-
ENPH,Technology,27.53,-4.01,28.58,34.13,Neutral,8.0,31.6243,Bearish,★★☆☆☆ →,-6.71,0.0,-12.95,No,Not expected,Not imminent,1.7,Increasing,0.0,-6.71,-1.5147,-1.3098,-0.2049,3.94,9.91,44.4386,Balanced metrics,27.16,High,,28.0,,-
AVGO,Technology,342.65,0.06,28.33,45.36,Neutral,4.16,351.7877,Bearish,★★☆☆☆ →,-5.49,0.0,-2.6,No,Not expected,Not imminent,2.1,Increasing,0.05,-5.49,-3.1087,0.0872,-3.1959,19.38,22.95,244.4301,Above VWAP,338.89,Low,,26.0,,-
PANW,Technology,202.9,-1.14,27.44,38.89,Neutral,2.81,211.4335,Bearish,★★☆☆☆ →,-7.45,0.0,-4.04,No,Not expected,Not imminent,2.1,Increasing,0.05,-7.45,-2.3282,-0.2793,-2.0489,18.21,21.96,189.1127,Above VWAP,199.88,Low,,30.0,,-
IWM,Unknown,232.76,-1.99,27.41,35.76,Neutral,1.97,242.0566,Bearish,★★☆☆☆ →,-5.17,0.0,-3.84,No,Not expected,Not imminent,2.0,Increasing,0.03,-5.17,-2.419,-1.0724,-1.3466,11.51,23.57,219.8477,Above VWAP,230.35,Low,,24.0,,-
MRNA,Healthcare,24.76,-0.04,26.68,45.55,Neutral,6.78,25.5272,Bearish,★★☆☆☆ →,-0.6,0.0,-3.01,No,Not expected,Not imminent,1.8,Increasing,0.0,-0.6,-0.2821,-0.3053,0.0232,29.06,39.05,30.4889,Bullish MACD,24.73,High,,15.0,,-
AMD,Technology,240.52,-2.55,26.29,51.98,Neutral,5.91,241.7905,Neutral,★★☆☆☆ →,-7.37,0.0,-0.53,No,Not expected,Not imminent,2.0,Increasing,0.05,-7.37,2.1094,5.1106,-3.0012,48.2,55.39,151.2112,Above VWAP,236.97,High,,29.0,,-
AMZN,Consumer Cyclical,232.87,-0.78,23.51,48.26,Neutral,3.62,236.632,Bearish,★★☆☆☆ →,-8.32,0.0,-1.59,No,Not expected,Not imminent,1.9,Increasing,0.07,-8.32,1.7176,4.233,-2.5154,34.3,46.33,214.8351,Above VWAP,229.0,Low,,33.0,,-
NVDA,Technology,186.6,-1.88,23.21,46.4,Neutral,4.59,191.4464,Bearish,★★☆☆☆ →,-9.8,0.0,-2.53,No,Not expected,Not imminent,1.9,Increasing,0.05,-9.8,-0.7268,1.0864,-1.8132,26.94,32.75,142.687,Above VWAP,182.94,Low,,35.0,,-
INTC,Technology,34.71,-2.28,22.57,40.67,Neutral,4.64,37.2468,Bearish,★★☆☆☆ →,-12.13,0.0,-6.81,No,Not expected,Not imminent,1.9,Decreasing,0.05,-12.13,-0.6268,0.0534,-0.6802,8.05,12.86,25.1357,Above VWAP,33.87,Low,,36.0,,-
ZS,Technology,294.92,-1.51,20.47,38.16,Neutral,3.8,314.8135,Bearish,★★☆☆☆ →,-12.3,0.0,-6.32,No,Not expected,Not imminent,2.2,Increasing,0.07,-12.3,-3.8088,1.347,-5.1558,9.01,20.86,245.0013,Above VWAP,287.66,Low,,37.0,,-
SMCI,Technology,34.1,-6.37,19.51,27.11,Oversold,8.14,43.164,Bearish,★★☆☆☆ ↑,-32.81,0.0,-21.0,No,Not expected,Not imminent,1.9,Decreasing,0.01,-32.81,-4.0257,-3.0374,-0.9883,5.75,4.69,41.6761,Balanced metrics,31.86,High,,44.0,,-
META,Communication Services,602.01,-1.22,19.4,25.53,Oversold,4.04,652.1516,Bearish,★★☆☆☆ ↑,-5.6,0.0,-7.69,No,Not expected,Not imminent,2.2,Increasing,0.01,-5.6,-25.6144,-24.1936,-1.4207,6.12,7.15,652.2519,Balanced metrics,595.27,Low,,27.0,,-
SEDG,Technology,34.27,-5.28,19.0,43.87,Neutral,12.56,38.1072,Bearish,★★☆☆☆ →,4.26,0.0,-10.07,No,Not expected,Not imminent,2.2,Increasing,0.12,4.26,-0.1536,0.5066,-0.6602,29.24,44.39,22.1653,Above VWAP,34.56,High,,4.0,,-
SHOP,Technology,139.93,-4.18,18.75,32.66,Neutral,5.86,157.3636,Bearish,★★☆☆☆ →,-19.09,0.0,-11.08,No,Not expected,Not imminent,2.1,Increasing,0.05,-19.09,-5.3499,-2.0246,-3.3253,7.22,15.14,118.2873,Above VWAP,134.59,High,,40.0,,-
COIN,Financial Services,263.95,-7.06,18.7,32.91,Neutral,7.92,312.5154,Bearish,★★☆☆☆ →,-20.12,0.0,-15.54,No,Not expected,Not imminent,1.8,Increasing,0.01,-20.12,-16.0335,-10.7192,-5.3143,8.31,12.89,292.2028,Balanced metrics,253.33,High,,41.0,,-
PLTR,Technology,171.25,-1.59,17.8,42.24,Neutral,6.54,182.9825,Bearish,★★☆☆☆ →,-17.34,0.0,-6.41,No,Not expected,Not imminent,2.3,Increasing,0.07,-17.34,-3.2299,-0.2939,-2.936,15.39,24.57,117.8592,Above VWAP,165.31,High,,39.0,,-
TSLA,Consumer Cyclical,408.92,1.13,16.73,42.64,Neutral,5.55,432.8454,Bearish,★★☆☆☆ →,-12.69,0.0,-5.53,No,Not expected,Not imminent,1.9,Increasing,0.0,-12.69,-9.2936,-2.6569,-6.6368,19.84,19.32,341.5628,Above VWAP,398.54,High,,38.0,,-
HD,Consumer Cyclical,358.03,-1.19,16.72,27.07,Oversold,2.08,375.1301,Bearish,★★☆☆☆ ↑,-5.37,0.0,-4.56,No,Not expected,Not imminent,1.8,Increasing,0.0,-5.37,-5.9051,-4.6482,-1.2569,10.85,19.36,380.2843,Balanced metrics,354.18,Low,,25.0,,-
CELH,Consumer Defensive,40.16,-6.15,11.46,24.19,Oversold,9.28,51.0695,Bearish,★☆☆☆☆ ↑,-32.22,0.0,-21.36,No,Not expected,Not imminent,2.4,Increasing,0.03,-32.22,-4.8564,-3.6665,-1.1899,9.26,13.37,38.2948,Above VWAP,37.57,High,,43.0,,-
MSTR,Technology,195.42,-2.17,10.88,24.35,Oversold,8.19,247.8345,Bearish,★☆☆☆☆ ↑,-26.16,0.0,-21.15,No,Not expected,Not imminent,1.8,Increasing,0.0,-26.16,-22.0593,-17.9242,-4.1351,4.26,5.33,348.6156,Balanced metrics,185.2,High,,42.0,,-
