Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
QCOM,Unknown,162.72,-2.42,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-1.4209,0.5195,-1.9404,,,,,,,,,Low,calc_error:KeyError,22.5,,New
NFLX,Unknown,111.68,1.26,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.5187,-0.8921,0.3733,,,,,,,,,Low,calc_error:KeyError,22.5,,New
SHOP,Unknown,138.24,-1.21,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-6.2151,-2.8627,-3.3524,,,,,,,,,Low,calc_error:KeyError,22.5,,New
ADBE,Unknown,325.22,0.05,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-4.1496,-3.5689,-0.5807,,,,,,,,,Low,calc_error:KeyError,22.5,,New
CRM,Unknown,233.89,-1.32,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-3.5951,-1.7668,-1.8282,,,,,,,,,Low,calc_error:KeyError,22.5,,New
SPY,Unknown,658.53,-1.07,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-2.4507,0.58,-3.0307,,,,,,,,,Low,calc_error:KeyError,22.5,,New
QQQ,Unknown,595.3,-1.38,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-3.7134,0.2851,-3.9985,,,,,,,,,Low,calc_error:KeyError,22.5,,New
IWM,Unknown,231.57,-0.51,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-3.0078,-1.4595,-1.5483,,,,,,,,,Low,calc_error:KeyError,22.5,,New
SMCI,Unknown,34.01,-0.26,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-4.0516,-3.2402,-0.8114,,,,,,,,,Low,calc_error:KeyError,22.5,,New
CELH,Unknown,40.94,1.95,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-4.7865,-3.8905,-0.896,,,,,,,,,Low,calc_error:KeyError,22.5,,New
PLTR,Unknown,167.95,-1.93,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-4.1605,-1.0672,-3.0933,,,,,,,,,Low,calc_error:KeyError,22.5,,-
UBER,Unknown,90.7,-1.53,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.9557,-0.6287,-0.327,,,,,,,,,Low,calc_error:KeyError,22.5,,-
FSLR,Unknown,247.12,-2.53,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,1.8523,5.9254,-4.0731,,,,,,,,,Low,calc_error:KeyError,22.5,,-
ENPH,Unknown,27.38,-0.54,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-1.6042,-1.3687,-0.2355,,,,,,,,,Low,calc_error:KeyError,22.5,,-
SEDG,Unknown,34.64,1.08,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.5139,0.3025,-0.8164,,,,,,,,,Low,calc_error:KeyError,22.5,,-
COST,Unknown,912.32,-0.03,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-3.6023,-2.8477,-0.7546,,,,,,,,,Low,calc_error:KeyError,22.5,,-
HD,Unknown,348.15,-2.76,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-7.4147,-5.2015,-2.2132,,,,,,,,,Low,calc_error:KeyError,22.5,,-
WMT,Unknown,102.44,-0.5,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.2548,-0.3452,0.0904,,,,,,,,,Low,calc_error:KeyError,22.5,,-
PANW,Unknown,201.0,-0.94,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-2.9577,-0.815,-2.1428,,,,,,,,,Low,calc_error:KeyError,22.5,,-
CRWD,Unknown,517.9,-2.24,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,1.5213,6.9595,-5.4382,,,,,,,,,Low,calc_error:KeyError,22.5,,-
ZS,Unknown,293.1,-0.62,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-5.3937,-0.0011,-5.3926,,,,,,,,,Low,calc_error:KeyError,22.5,,-
MRNA,Unknown,24.19,-2.3,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.359,-0.316,-0.0429,,,,,,,,,Low,calc_error:KeyError,22.5,,-
LLY,Unknown,1023.66,0.19,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,47.7577,41.1983,6.5594,,,,,,,,,Low,calc_error:KeyError,22.5,,-
PFE,Unknown,25.24,0.64,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,0.264,0.1836,0.0805,,,,,,,,,Low,calc_error:KeyError,22.5,,-
XOM,Unknown,117.51,-0.14,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,1.2558,1.0802,0.1756,,,,,,,,,Low,calc_error:KeyError,22.5,,-
CVX,Unknown,152.05,-1.79,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.0507,0.1313,-0.182,,,,,,,,,Low,calc_error:KeyError,22.5,,-
GLD,Unknown,373.55,0.51,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,1.297,1.4864,-0.1894,,,,,,,,,Low,calc_error:KeyError,22.5,,-
SLV,Unknown,45.8,0.73,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,0.5426,0.4607,0.0819,,,,,,,,,Low,calc_error:KeyError,22.5,,-
GDX,Unknown,74.89,-0.08,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,0.5937,0.2442,0.3495,,,,,,,,,Low,calc_error:KeyError,22.5,,-
COIN,Unknown,265.33,0.52,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-17.339,-12.0431,-5.2958,,,,,,,,,Low,calc_error:KeyError,22.5,,-
MSTR,Unknown,203.87,4.32,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-21.3972,-18.6188,-2.7784,,,,,,,,,Low,calc_error:KeyError,22.5,,-
NKE,Unknown,62.13,-1.22,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.8139,-1.096,0.2821,,,,,,,,,Low,calc_error:KeyError,22.5,,-
DE,Unknown,472.61,-0.71,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,2.481,2.8095,-0.3285,,,,,,,,,Low,calc_error:KeyError,22.5,,-
CAT,Unknown,541.72,-1.87,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,2.9167,9.2238,-6.3071,,,,,,,,,Low,calc_error:KeyError,22.5,,-
